k,s,seed,n,n_exact_6g,max_abs_err,median_abs_err,frac_exact
19,200000,42,496,0,0.015479999999999994,0.0033289000000000027,0.0
19,500000,42,496,0,0.016647999999999996,0.003190000000000026,0.0
19,1000000,42,496,0,0.016342999999999996,0.0025459999999999927,0.0
21,1000,42,496,0,0.6880569999999999,0.022136500000000003,0.0
21,5000,42,496,2,0.651973,0.0020867000000000004,0.004032258064516129
21,10000,42,496,2,0.640814,0.0011025000000000063,0.004032258064516129
21,20000,42,496,2,0.070544,0.0008884999999999865,0.004032258064516129
21,50000,42,496,7,0.028857999999999995,0.0008619999999999947,0.014112903225806451
21,100000,1,496,3,0.025658999999999987,0.0004132499999999987,0.006048387096774193
21,100000,7,496,7,0.016728999999999994,0.0014234999999999942,0.014112903225806451
21,100000,42,496,4,0.008977999999999986,0.0004735000000000017,0.008064516129032258
21,100000,99,496,5,0.012424999999999964,0.0009430000000000271,0.010080645161290322
21,200000,42,496,490,4.900000000003968e-09,0.0,0.9879032258064516
21,500000,42,496,1,0.01020399999999999,0.0002829999999999916,0.0020161290322580645
21,1000000,1,496,0,0.02029900000000001,0.0006125000000000019,0.0
21,1000000,42,496,0,0.015519000000000005,0.0004884999999999889,0.0
23,1000,42,496,0,0.690331,0.005053999999999989,0.0
23,5000,42,496,0,0.6880569999999999,0.006096499999999991,0.0
23,10000,42,496,0,0.6497919999999999,0.011366999999999988,0.0
23,20000,42,496,0,0.64672,0.009198499999999998,0.0
23,50000,42,496,0,0.023280999999999996,0.006308000000000001,0.0
23,100000,42,496,0,0.02998200000000001,0.00830800000000001,0.0
23,200000,42,496,0,0.029562000000000033,0.008327499999999988,0.0
23,500000,42,496,0,0.03653600000000001,0.008840499999999987,0.0
23,1000000,42,496,0,0.03334400000000004,0.008513499999999993,0.0
25,1000,42,496,0,0.690331,0.013249999999999998,0.0
25,5000,42,496,0,0.05843799999999999,0.005254999999999982,0.0
25,10000,42,496,0,0.08023399999999997,0.010322499999999998,0.0
25,20000,42,496,0,0.07233,0.012403500000000012,0.0
25,50000,42,496,0,0.057242000000000015,0.01403299999999999,0.0
25,100000,42,496,0,0.061502999999999974,0.01460949999999999,0.0
25,200000,42,496,0,0.06066499999999997,0.015137999999999999,0.0
27,1000,42,496,0,0.6880569999999999,0.015743000000000007,0.0
27,5000,42,496,0,0.682411,0.010945999999999997,0.0
27,10000,42,496,0,0.682411,0.0138075,0.0
27,20000,42,496,0,0.05595300000000003,0.016628000000000004,0.0
27,50000,42,496,0,0.061136000000000024,0.019191,0.0
27,100000,42,496,0,0.05874600000000002,0.02116549999999999,0.0
27,200000,42,496,0,0.062276,0.021637500000000004,0.0
31,1000,42,496,0,0.690331,0.03109250000000001,0.0
31,5000,42,496,0,0.138004,0.03504099999999999,0.0
31,10000,42,496,0,0.115651,0.0337205,0.0
31,20000,42,496,0,0.10323199999999999,0.03303299999999999,0.0
31,50000,42,496,0,0.07852899999999996,0.0324695,0.0
31,100000,42,496,0,0.08938099999999999,0.0332925,0.0
31,200000,42,496,0,0.08945900000000001,0.034772999999999984,0.0
